Wavelength_nm	Energy_eV	VOC_V	JSC_mA/cm2	FF_%	PCE_%
351.27479	3.53	3.10605	0.391	95.21557	1.15635
351.47392	3.528	3.10428	0.39402	95.21328	1.1646
351.67328	3.526	3.1025	0.39701	95.21097	1.17273
351.87287	3.524	3.10072	0.39997	95.20881	1.18078
352.07269	3.522	3.09894	0.4029	95.20658	1.18873
352.27273	3.52	3.09716	0.40579	95.20427	1.19653
352.473	3.518	3.09536	0.40862	95.20189	1.20413
352.67349	3.516	3.09357	0.41144	95.1997	1.21173
352.87422	3.514	3.09178	0.41434	95.19747	1.21951
353.07517	3.512	3.09	0.41731	95.19518	1.22754
353.27635	3.51	3.08822	0.4204	95.19283	1.23587
353.47777	3.508	3.08644	0.42361	95.19057	1.24457
353.67941	3.506	3.08467	0.42693	95.18839	1.25357
353.88128	3.504	3.08291	0.43033	95.18613	1.2628
